id,curriculum_id,subject_id,subject_category_id,semester,year_level,created_at,updated_at
10,6,105,1,1ST,1,"2024-07-10 01:49:51","2024-07-10 01:49:51"
11,6,520,1,1ST,1,"2024-07-10 01:50:07","2024-07-10 01:50:07"
12,6,911,1,1ST,1,"2024-07-10 01:50:36","2024-07-10 01:50:36"
13,6,928,1,1ST,1,"2024-07-10 01:51:01","2024-07-10 01:51:01"
14,6,786,6,1ST,1,"2024-07-11 19:07:32","2024-07-11 19:07:32"
15,6,785,2,1ST,1,"2024-07-11 19:07:53","2024-07-11 19:07:53"
16,6,591,3,1ST,1,"2024-07-11 19:08:46","2024-07-11 19:08:46"
17,6,971,5,1ST,1,"2024-07-11 19:09:14","2024-07-11 19:09:14"
18,6,732,8,1ST,1,"2024-07-11 19:09:27","2024-07-11 19:09:27"
19,6,1188,1,2ND,1,"2024-07-11 19:10:04","2024-07-11 19:10:04"
20,6,1239,1,2ND,1,"2024-07-11 19:11:02","2024-07-11 19:11:02"
21,7,775,6,1ST,1,"2024-07-11 19:11:03","2024-07-11 19:44:14"
22,6,617,1,2ND,1,"2024-07-11 19:11:34","2024-07-11 19:11:34"
23,7,776,6,1ST,1,"2024-07-11 19:12:39","2024-07-11 19:44:22"
24,6,1408,6,2ND,1,"2024-07-11 19:13:04","2024-07-11 19:13:04"
25,6,691,6,2ND,1,"2024-07-11 19:13:18","2024-07-11 19:13:18"
26,7,1132,6,1ST,1,"2024-07-11 19:13:20","2024-07-11 19:44:28"
27,6,868,6,2ND,1,"2024-07-11 19:13:48","2024-07-11 19:13:48"
28,6,104,3,2ND,1,"2024-07-11 19:13:59","2024-07-11 19:13:59"
29,6,972,5,2ND,1,"2024-07-11 19:14:15","2024-07-11 19:14:15"
30,7,1131,6,1ST,1,"2024-07-11 19:14:27","2024-07-11 19:44:43"
31,6,1401,1,SUMMER,1,"2024-07-11 19:14:34","2024-07-11 19:14:34"
32,7,911,1,1ST,1,"2024-07-11 19:14:51","2024-07-11 19:14:51"
33,6,877,1,SUMMER,1,"2024-07-11 19:15:05","2024-07-11 19:15:05"
34,7,1239,1,1ST,1,"2024-07-11 19:15:15","2024-07-11 19:15:15"
35,6,849,1,SUMMER,1,"2024-07-11 19:16:26","2024-07-11 19:16:26"
36,7,1459,1,1ST,1,"2024-07-11 19:16:40","2024-07-11 19:16:40"
37,6,684,6,1ST,2,"2024-07-11 19:16:43","2024-07-11 19:16:43"
38,7,959,3,1ST,1,"2024-07-11 19:17:00","2024-07-11 19:17:00"
39,6,292,6,1ST,2,"2024-07-11 19:17:04","2024-07-11 19:17:04"
40,6,805,6,1ST,2,"2024-07-11 19:17:27","2024-07-11 19:17:27"
41,7,971,5,1ST,1,"2024-07-11 19:17:29","2024-07-11 19:17:29"
42,6,606,6,1ST,2,"2024-07-11 19:17:44","2024-07-11 19:17:44"
43,7,732,8,1ST,1,"2024-07-11 19:17:50","2024-07-11 19:17:50"
44,6,1306,6,1ST,2,"2024-07-11 19:18:06","2024-07-11 19:18:06"
45,6,581,6,1ST,2,"2024-07-11 19:18:21","2024-07-11 19:18:21"
46,6,344,6,1ST,2,"2024-07-11 19:18:34","2024-07-11 19:18:34"
47,7,810,6,2ND,1,"2024-07-11 19:18:37","2024-07-11 19:43:59"
48,6,555,3,1ST,2,"2024-07-11 19:18:45","2024-07-11 19:18:45"
49,6,1155,6,2ND,2,"2024-07-11 19:21:36","2024-07-11 19:21:36"
50,6,844,6,2ND,2,"2024-07-11 19:21:54","2024-07-11 19:21:54"
51,6,867,6,2ND,2,"2024-07-11 19:22:08","2024-07-11 19:22:08"
52,6,1302,6,2ND,2,"2024-07-11 19:22:26","2024-07-11 19:22:26"
53,6,622,1,2ND,2,"2024-07-11 19:22:46","2024-07-11 19:22:46"
54,6,1043,6,2ND,2,"2024-07-11 19:23:07","2024-07-11 19:23:07"
55,6,345,6,2ND,2,"2024-07-11 19:23:22","2024-07-11 19:23:22"
56,6,610,3,2ND,2,"2024-07-11 19:23:37","2024-07-11 19:23:37"
57,6,1459,1,SUMMER,2,"2024-07-11 19:23:51","2024-07-11 19:23:51"
58,6,361,1,SUMMER,2,"2024-07-11 19:24:03","2024-07-11 19:24:03"
59,6,1496,1,SUMMER,2,"2024-07-11 19:26:55","2024-07-11 19:26:55"
60,7,85,6,2ND,1,"2024-07-11 19:27:06","2024-07-11 19:45:11"
61,6,580,6,1ST,3,"2024-07-11 19:27:14","2024-07-11 19:27:14"
62,6,1197,6,1ST,3,"2024-07-11 19:27:43","2024-07-11 19:27:43"
63,6,395,6,1ST,3,"2024-07-11 19:28:00","2024-07-11 19:28:00"
64,6,1291,6,1ST,3,"2024-07-11 19:28:20","2024-07-11 19:28:20"
65,6,1440,6,1ST,3,"2024-07-11 19:28:37","2024-07-11 19:28:37"
66,6,1382,6,1ST,3,"2024-07-11 19:30:18","2024-07-11 19:30:18"
67,7,1103,6,2ND,1,"2024-07-11 19:30:27","2024-07-11 19:45:20"
68,6,731,6,1ST,3,"2024-07-11 19:30:34","2024-07-11 19:30:34"
69,6,227,6,1ST,3,"2024-07-11 19:30:50","2024-07-11 19:30:50"
70,6,347,6,2ND,3,"2024-07-11 19:31:18","2024-07-11 19:31:18"
71,6,525,6,2ND,3,"2024-07-11 19:31:33","2024-07-11 19:31:33"
72,6,876,6,2ND,3,"2024-07-11 19:31:49","2024-07-11 19:31:49"
73,6,554,6,2ND,3,"2024-07-11 19:32:11","2024-07-11 19:32:11"
74,6,1481,6,2ND,3,"2024-07-11 19:32:41","2024-07-11 19:32:41"
75,7,1141,6,2ND,1,"2024-07-11 19:32:42","2024-07-11 19:45:32"
76,6,1383,6,2ND,3,"2024-07-11 19:32:52","2024-07-11 19:32:52"
77,6,981,6,2ND,3,"2024-07-11 19:33:05","2024-07-11 19:33:05"
78,6,226,6,2ND,3,"2024-07-11 19:33:21","2024-07-11 19:33:21"
79,7,1188,1,2ND,1,"2024-07-11 19:33:23","2024-07-11 19:33:23"
80,6,579,6,1ST,4,"2024-07-11 19:33:41","2024-07-11 19:33:41"
81,6,346,6,1ST,4,"2024-07-11 19:33:53","2024-07-11 19:33:53"
82,6,787,6,1ST,4,"2024-07-11 19:34:03","2024-07-11 19:34:03"
83,6,500,6,1ST,4,"2024-07-11 19:34:13","2024-07-11 19:34:13"
84,6,348,6,1ST,4,"2024-07-11 19:34:51","2024-07-11 19:34:51"
85,7,617,1,2ND,1,"2024-07-11 19:36:37","2024-07-11 19:36:37"
86,7,557,3,2ND,1,"2024-07-11 19:46:00","2024-07-11 19:46:00"
87,7,972,5,2ND,1,"2024-07-11 19:46:23","2024-07-11 19:46:23"
88,7,1106,6,SUMMER,1,"2024-07-11 19:46:41","2024-07-11 19:46:41"
89,7,815,6,1ST,2,"2024-07-11 19:51:24","2024-07-11 19:51:24"
90,7,973,6,1ST,2,"2024-07-11 19:51:55","2024-07-11 19:51:55"
91,7,57,6,1ST,2,"2024-07-11 19:52:11","2024-07-11 19:52:11"
92,6,1506,6,1ST,4,"2024-07-11 21:13:09","2024-07-12 22:00:45"
93,6,1415,6,1ST,4,"2024-07-11 21:13:21","2024-07-11 21:13:21"
94,6,769,6,2ND,4,"2024-07-11 21:13:33","2024-07-11 21:13:33"
95,6,1507,6,2ND,4,"2024-07-11 21:13:44","2024-07-11 21:13:44"
96,8,105,1,1ST,1,"2024-07-11 21:15:33","2024-07-11 21:15:33"
97,8,520,1,1ST,1,"2024-07-11 21:15:44","2024-07-11 21:15:44"
98,8,911,1,1ST,1,"2024-07-11 21:15:53","2024-07-11 21:15:53"
99,8,928,1,1ST,1,"2024-07-11 21:16:02","2024-07-11 21:16:02"
100,8,604,6,1ST,1,"2024-07-11 21:16:17","2024-07-11 21:16:17"
101,8,785,6,1ST,1,"2024-07-11 21:16:29","2024-07-11 21:16:29"
102,8,591,3,1ST,1,"2024-07-11 21:16:41","2024-07-11 21:16:41"
103,8,971,5,1ST,1,"2024-07-11 21:16:51","2024-07-11 21:16:51"
104,8,732,8,1ST,1,"2024-07-11 21:17:01","2024-07-11 21:17:01"
105,8,1188,1,2ND,1,"2024-07-11 21:17:13","2024-07-11 21:17:13"
106,8,617,1,2ND,1,"2024-07-11 21:17:23","2024-07-11 21:17:23"
107,8,691,6,2ND,1,"2024-07-11 21:17:33","2024-07-11 21:17:33"
108,8,1064,6,2ND,1,"2024-07-11 21:17:50","2024-07-11 21:17:50"
109,8,822,6,2ND,1,"2024-07-11 21:18:06","2024-07-11 21:18:06"
110,8,607,6,2ND,1,"2024-07-11 21:18:19","2024-07-11 21:18:19"
111,8,104,3,2ND,1,"2024-07-11 21:18:34","2024-07-11 21:18:34"
112,8,972,5,2ND,1,"2024-07-11 21:18:44","2024-07-11 21:18:44"
113,8,1045,6,1ST,2,"2024-07-11 21:21:44","2024-07-11 21:21:44"
114,8,725,6,1ST,2,"2024-07-11 21:21:57","2024-07-11 21:21:57"
121,8,796,6,1ST,2,"2024-07-11 21:24:44","2024-07-11 21:24:44"
122,8,344,6,1ST,2,"2024-07-11 21:24:53","2024-07-11 21:24:53"
123,7,1287,6,1ST,2,"2024-07-11 21:56:38","2024-07-11 21:56:38"
124,7,1508,1,1ST,2,"2024-07-11 23:15:23","2024-07-11 23:15:23"
125,7,83,1,1ST,2,"2024-07-11 23:15:49","2024-07-11 23:15:49"
126,7,1401,1,1ST,2,"2024-07-11 23:16:40","2024-07-11 23:16:40"
127,7,1061,3,1ST,2,"2024-07-11 23:17:08","2024-07-11 23:17:08"
128,7,926,6,2ND,2,"2024-07-11 23:19:44","2024-07-11 23:19:44"
129,7,1126,6,2ND,2,"2024-07-11 23:20:01","2024-07-11 23:20:01"
130,7,137,6,2ND,2,"2024-07-11 23:21:30","2024-07-11 23:21:30"
131,7,1509,1,2ND,2,"2024-07-11 23:24:35","2024-07-11 23:24:35"
132,7,620,1,2ND,2,"2024-07-11 23:26:41","2024-07-11 23:26:41"
133,7,105,1,2ND,2,"2024-07-11 23:27:15","2024-07-11 23:27:15"
134,7,928,1,2ND,2,"2024-07-11 23:28:26","2024-07-11 23:28:26"
135,7,849,1,2ND,2,"2024-07-11 23:29:17","2024-07-11 23:29:17"
136,7,1062,3,2ND,2,"2024-07-11 23:31:55","2024-07-11 23:31:55"
149,9,775,6,1ST,1,"2024-07-12 20:12:17","2024-07-12 20:12:17"
150,9,776,6,1ST,1,"2024-07-12 20:12:39","2024-07-12 20:12:39"
151,9,1132,6,1ST,1,"2024-07-12 20:12:50","2024-07-12 20:12:50"
152,9,1131,6,1ST,1,"2024-07-12 20:13:06","2024-07-12 20:13:06"
153,9,911,1,1ST,1,"2024-07-12 20:13:26","2024-07-12 20:13:26"
154,9,1239,1,1ST,1,"2024-07-12 20:13:43","2024-07-12 20:13:43"
155,9,1459,1,1ST,1,"2024-07-12 20:13:58","2024-07-12 20:13:58"
156,9,959,3,1ST,1,"2024-07-12 20:14:46","2024-07-12 20:14:46"
157,9,971,5,1ST,1,"2024-07-12 20:14:56","2024-07-12 20:14:56"
158,9,732,8,1ST,1,"2024-07-12 20:15:06","2024-07-12 20:15:06"
