id,prerequisite_id,curriculum_entry_id,created_at,updated_at
3,3,23,NULL,NULL
4,4,26,NULL,NULL
5,5,30,NULL,NULL
6,6,21,NULL,NULL
9,7,38,NULL,NULL
10,8,41,NULL,NULL
13,9,30,NULL,NULL
14,10,23,NULL,NULL
15,10,30,NULL,NULL
16,10,75,NULL,NULL
17,11,34,NULL,NULL
18,12,79,NULL,NULL
19,13,75,NULL,NULL
20,14,34,NULL,NULL
21,15,32,NULL,NULL
22,16,38,NULL,NULL
23,17,125,NULL,NULL
24,18,23,NULL,NULL
25,18,30,NULL,NULL
29,20,34,NULL,NULL
30,21,34,NULL,NULL
31,22,38,NULL,NULL
32,23,14,NULL,NULL
33,24,15,NULL,NULL
34,25,16,NULL,NULL
35,26,17,NULL,NULL
36,27,13,NULL,NULL
37,28,24,NULL,NULL
38,29,27,NULL,NULL
39,30,42,NULL,NULL
40,31,25,NULL,NULL
41,32,37,NULL,NULL
42,33,49,NULL,NULL
43,34,27,NULL,NULL
44,34,39,NULL,NULL
45,35,44,NULL,NULL
46,36,45,NULL,NULL
47,37,46,NULL,NULL
48,38,35,NULL,NULL
49,39,53,NULL,NULL
50,40,61,NULL,NULL
51,41,50,NULL,NULL
52,42,55,NULL,NULL
53,43,52,NULL,NULL
54,44,63,NULL,NULL
55,45,55,NULL,NULL
56,46,62,NULL,NULL
57,47,66,NULL,NULL
58,48,68,NULL,NULL
59,49,69,NULL,NULL
60,50,72,NULL,NULL
61,51,71,NULL,NULL
62,52,52,NULL,NULL
63,53,52,NULL,NULL
64,54,70,NULL,NULL
65,55,77,NULL,NULL
66,56,92,NULL,NULL
67,57,101,NULL,NULL
68,58,100,NULL,NULL
69,59,100,NULL,NULL
70,60,102,NULL,NULL
71,61,103,NULL,NULL
72,62,108,NULL,NULL
73,63,108,NULL,NULL
74,64,122,NULL,NULL
75,65,114,NULL,NULL
76,65,110,NULL,NULL
77,66,220,NULL,NULL
78,67,224,NULL,NULL
79,67,225,NULL,NULL
80,68,224,NULL,NULL
81,68,225,NULL,NULL
82,69,110,NULL,NULL
83,70,109,NULL,NULL
84,71,231,NULL,NULL
85,72,113,NULL,NULL
86,73,108,NULL,NULL
87,73,113,NULL,NULL
88,73,114,NULL,NULL
89,74,108,NULL,NULL
90,74,113,NULL,NULL
91,74,114,NULL,NULL
92,74,223,NULL,NULL
93,75,108,NULL,NULL
94,75,113,NULL,NULL
95,75,114,NULL,NULL
96,75,233,NULL,NULL
97,76,108,NULL,NULL
98,76,113,NULL,NULL
99,76,114,NULL,NULL
100,76,110,NULL,NULL
101,76,121,NULL,NULL
102,77,107,NULL,NULL
103,78,236,NULL,NULL
104,79,235,NULL,NULL
105,79,237,NULL,NULL
106,79,238,NULL,NULL
107,79,239,NULL,NULL
108,79,240,NULL,NULL
109,79,223,NULL,NULL
110,79,233,NULL,NULL
111,79,232,NULL,NULL
112,80,235,NULL,NULL
113,80,237,NULL,NULL
114,80,238,NULL,NULL
115,80,239,NULL,NULL
116,80,240,NULL,NULL
117,81,224,NULL,NULL
118,81,225,NULL,NULL
119,81,223,NULL,NULL
120,81,233,NULL,NULL
121,81,232,NULL,NULL
122,82,108,NULL,NULL
123,82,113,NULL,NULL
124,82,114,NULL,NULL
125,82,109,NULL,NULL
126,82,110,NULL,NULL
127,82,121,NULL,NULL
128,82,226,NULL,NULL
129,82,229,NULL,NULL
130,82,230,NULL,NULL
131,82,234,NULL,NULL
132,82,235,NULL,NULL
133,82,237,NULL,NULL
134,82,238,NULL,NULL
135,82,239,NULL,NULL
136,82,240,NULL,NULL
137,83,108,NULL,NULL
138,83,113,NULL,NULL
139,83,114,NULL,NULL
140,83,109,NULL,NULL
141,83,110,NULL,NULL
142,83,121,NULL,NULL
143,83,236,NULL,NULL
144,84,256,NULL,NULL
145,85,258,NULL,NULL
146,86,258,NULL,NULL
147,87,264,NULL,NULL
148,88,257,NULL,NULL
149,89,259,NULL,NULL
150,90,257,NULL,NULL
151,91,257,NULL,NULL
152,92,278,NULL,NULL
153,93,279,NULL,NULL
154,94,259,NULL,NULL
155,95,283,NULL,NULL
156,96,257,NULL,NULL
157,96,273,NULL,NULL
158,97,257,NULL,NULL
159,97,273,NULL,NULL
160,98,257,NULL,NULL
161,98,273,NULL,NULL
162,99,257,NULL,NULL
163,100,273,NULL,NULL
164,101,291,NULL,NULL
165,102,294,NULL,NULL
166,103,257,NULL,NULL
167,103,273,NULL,NULL
168,104,276,NULL,NULL
169,105,292,NULL,NULL
170,106,296,NULL,NULL
171,107,303,NULL,NULL
172,108,304,NULL,NULL
173,109,305,NULL,NULL
174,110,323,NULL,NULL
175,111,326,NULL,NULL
176,112,327,NULL,NULL
177,113,330,NULL,NULL
178,113,340,NULL,NULL
179,114,340,NULL,NULL
180,114,334,NULL,NULL
181,115,340,NULL,NULL
182,116,340,NULL,NULL
183,117,326,NULL,NULL
184,118,340,NULL,NULL
185,119,338,NULL,NULL
186,120,342,NULL,NULL
187,121,344,NULL,NULL
188,122,326,NULL,NULL
189,123,338,NULL,NULL
190,124,338,NULL,NULL
191,125,338,NULL,NULL
192,126,347,NULL,NULL
193,126,349,NULL,NULL
194,127,349,NULL,NULL
195,128,338,NULL,NULL
196,129,355,NULL,NULL
197,130,357,NULL,NULL
198,131,356,NULL,NULL
199,132,349,NULL,NULL
200,133,355,NULL,NULL
201,134,355,NULL,NULL
202,135,360,NULL,NULL
203,136,362,NULL,NULL
204,137,357,NULL,NULL
205,137,350,NULL,NULL
206,138,321,NULL,NULL
207,139,362,NULL,NULL
208,139,361,NULL,NULL
209,140,330,NULL,NULL
210,141,359,NULL,NULL
211,141,365,NULL,NULL
212,141,366,NULL,NULL
213,142,368,NULL,NULL
214,143,368,NULL,NULL
215,144,330,NULL,NULL
216,144,328,NULL,NULL
217,145,368,NULL,NULL
218,146,370,NULL,NULL
220,148,370,NULL,NULL
221,149,370,NULL,NULL
222,150,370,NULL,NULL
223,151,370,NULL,NULL
224,153,359,NULL,NULL
225,154,370,NULL,NULL
226,155,363,NULL,NULL
227,155,383,NULL,NULL
228,155,384,NULL,NULL
229,155,385,NULL,NULL
230,156,387,NULL,NULL
231,157,379,NULL,NULL
232,164,418,NULL,NULL
233,165,401,NULL,NULL
234,166,410,NULL,NULL
235,167,424,NULL,NULL
236,168,372,NULL,NULL
237,169,391,NULL,NULL
238,170,392,NULL,NULL
239,171,371,NULL,NULL
242,172,396,NULL,NULL
243,173,398,NULL,NULL
244,174,371,NULL,NULL
245,174,372,NULL,NULL
246,174,392,NULL,NULL
247,175,469,NULL,NULL
248,176,463,NULL,NULL
249,177,463,NULL,NULL
250,178,465,NULL,NULL
251,179,465,NULL,NULL
252,180,466,NULL,NULL
253,181,469,NULL,NULL
254,181,473,NULL,NULL
255,182,465,NULL,NULL
256,183,498,NULL,NULL
257,184,498,NULL,NULL
258,185,498,NULL,NULL
259,186,500,NULL,NULL
260,187,501,NULL,NULL
261,188,494,NULL,NULL
262,189,497,NULL,NULL
263,190,498,NULL,NULL
