id,curriculum_entry_id,label,created_at,updated_at
3,47,ANSC1,"2024-07-12 18:07:40","2024-07-12 18:07:40"
4,60,CRPT1,"2024-07-12 18:08:56","2024-07-12 18:08:56"
5,67,CRSC1,"2024-07-12 18:09:36","2024-07-12 18:09:36"
6,75,AGSC1,"2024-07-12 18:11:41","2025-05-05 09:27:32"
7,86,FITT1,"2024-07-12 18:13:40","2024-07-12 18:13:40"
8,87,NSTP1,"2024-07-12 18:16:57","2024-07-12 18:16:57"
9,88,"AGSC1,ANSC1,CRSC1","2024-07-12 18:18:34","2025-05-05 09:28:25"
10,89,"ANSC1,CRSC1,SOIL1","2024-07-12 18:22:40","2024-07-12 18:22:40"
11,90,GNED06,"2024-07-12 18:24:50","2024-07-12 18:24:50"
12,91,GNED05,"2024-07-12 18:26:15","2024-07-12 18:26:15"
13,123,SOIL1,"2024-07-12 18:34:29","2024-07-12 18:34:29"
14,124,GNED06,"2024-07-12 18:39:34","2024-07-12 18:39:34"
15,125,GNED03,"2024-07-12 18:39:57","2024-07-12 18:39:57"
16,127,FITT1,"2024-07-12 18:40:25","2024-07-12 18:40:25"
17,128,STAT11,"2024-07-12 18:46:44","2024-07-12 18:46:44"
18,129,"AGSC1,ANSC1,CRSC1","2024-07-12 18:53:12","2025-05-05 09:40:41"
19,130,"ANSC1,CRSC1,SOIL1","2024-07-12 18:53:41","2025-05-05 09:41:57"
20,131,GNED06,"2024-07-12 18:54:02","2024-07-12 18:54:02"
21,132,GNED06,"2024-07-12 18:54:29","2024-07-12 18:54:29"
22,136,FITT1,"2024-07-12 18:54:59","2024-07-12 18:54:59"
23,24,CRIM1,"2024-07-12 21:36:53","2024-07-12 21:36:53"
24,25,CLAW1,"2024-07-12 21:37:37","2024-07-12 21:37:37"
25,28,FITT5,"2024-07-12 21:37:51","2024-07-12 21:37:51"
26,29,NSTP1,"2024-07-12 21:38:25","2024-07-12 21:38:25"
27,33,GNED04,"2024-07-12 21:39:03","2024-07-12 21:39:03"
28,37,CRIM2,"2024-07-12 21:39:22","2024-07-12 21:39:22"
29,39,LEAD1,"2024-07-12 21:39:44","2024-07-12 21:39:44"
30,44,CDIN1,"2024-07-12 21:40:09","2024-07-12 21:40:09"
31,46,CLAW2,"2024-07-12 21:40:30","2024-07-12 21:40:30"
32,49,CRIM3,"2024-07-12 21:40:58","2024-07-12 21:40:58"
33,50,CRIM4,"2024-07-12 21:41:29","2024-07-12 21:41:29"
34,51,"LEAD1,LEAD2","2024-07-12 21:42:10","2024-07-12 21:42:10"
35,52,CDIN2,"2024-07-12 21:43:43","2024-07-12 21:43:43"
36,54,FOSC1,"2024-07-12 21:44:03","2024-07-12 21:44:03"
37,55,CLAW3,"2024-07-12 21:44:20","2024-07-12 21:44:20"
38,58,GNED11,"2024-07-12 21:44:37","2024-07-12 21:44:37"
39,61,CHEM5,"2024-07-12 21:45:21","2024-07-12 21:45:21"
40,62,FOSC3,"2024-07-12 21:45:34","2024-07-12 21:45:34"
41,63,CRIM5,"2024-07-12 21:45:56","2024-07-12 21:45:56"
42,64,CLAW4,"2024-07-12 21:46:11","2024-07-12 21:46:11"
43,65,CDIN3,"2024-07-12 21:46:30","2024-07-12 21:46:30"
44,70,CRIM6,"2024-07-12 21:47:05","2024-07-12 21:47:05"
45,71,CLAW4,"2024-07-12 21:47:15","2024-07-12 21:47:15"
46,72,FOSC4,"2024-07-12 21:47:32","2024-07-12 21:47:32"
47,76,CDIN5,"2024-07-12 21:47:48","2024-07-12 21:47:48"
48,77,COAD1,"2024-07-12 21:48:48","2024-07-12 21:48:48"
49,78,CFLM1,"2024-07-12 21:49:35","2024-07-12 21:49:35"
50,80,FOSC5,"2024-07-12 21:49:52","2024-07-12 21:49:52"
51,81,CLAW5,"2024-07-12 21:50:30","2024-07-12 21:50:30"
52,82,CDIN3,"2024-07-12 21:50:42","2024-07-12 21:50:42"
53,83,CDIN3,"2024-07-12 21:50:56","2024-07-12 21:50:56"
54,84,CRIM7,"2024-07-12 21:51:09","2024-07-12 21:51:09"
55,93,COAD2,"2024-07-12 22:01:07","2024-07-12 22:01:07"
56,95,CRIM197,"2024-07-12 22:01:29","2024-07-12 22:01:29"
57,107,CLAW1,"2024-07-12 22:02:50","2024-07-12 22:02:50"
58,108,ISAD20,"2024-07-12 22:03:24","2024-07-12 22:03:24"
59,109,ISAD20,"2024-07-12 22:03:36","2024-07-12 22:03:36"
60,111,FITT5,"2024-07-12 22:03:48","2024-07-12 22:03:48"
61,112,NSTP1,"2024-07-12 22:03:58","2024-07-12 22:03:58"
62,113,ISAD21,"2024-07-12 22:04:14","2024-07-12 22:04:14"
63,114,ISAD21,"2024-07-12 22:04:22","2024-07-12 22:04:22"
64,220,CLAW3,"2024-07-12 22:10:41","2024-07-12 22:10:41"
65,229,"ISAD23,ISAD25","2024-07-12 22:20:19","2024-07-12 22:20:19"
66,231,CLAW4,"2024-07-12 22:22:55","2024-07-12 22:22:55"
67,232,"MNGT1,MNGT2","2024-07-12 22:23:37","2024-07-12 22:23:37"
68,233,"MNGT1,MNGT2","2024-07-12 22:37:39","2024-07-12 22:37:39"
69,234,ISAD25,"2024-07-12 22:37:56","2024-07-12 22:37:56"
70,235,ISAD24,"2024-07-12 22:38:11","2024-07-12 22:38:11"
71,236,CLAW4-A,"2024-07-12 22:47:41","2024-07-12 22:47:41"
72,237,ISAD22,"2024-07-12 22:47:57","2024-07-12 22:47:57"
73,238,"ISAD21,ISAD22,ISAD23","2024-07-12 22:48:25","2024-07-12 22:48:25"
74,239,"ISAD21,ISAD22,ISAD23,MNGT3","2024-07-12 22:48:59","2024-07-12 22:48:59"
75,240,"ISAD21,ISAD22,ISAD23,MNGT4","2024-07-12 22:57:50","2024-07-12 22:57:50"
76,241,"ISAD21,ISAD22,ISAD23,ISAD25,ISAD26","2024-07-12 22:58:27","2024-07-12 22:58:27"
77,242,CLAW2,"2024-07-12 22:58:42","2024-07-12 22:58:42"
78,244,CLAW5,"2024-07-12 23:01:37","2024-07-12 23:01:37"
