id,subject_id,program_id,created_at,updated_at
9,21,400,NULL,NULL
10,22,427,NULL,NULL
11,23,427,NULL,NULL
12,24,427,NULL,NULL
13,25,427,NULL,NULL
14,26,427,NULL,NULL
15,27,427,NULL,NULL
16,28,421,NULL,NULL
17,29,438,NULL,NULL
18,30,403,NULL,NULL
19,31,403,NULL,NULL
20,32,403,NULL,NULL
21,33,403,NULL,NULL
22,34,403,NULL,NULL
23,35,403,NULL,NULL
24,36,424,NULL,NULL
25,37,446,NULL,NULL
26,38,443,NULL,NULL
28,40,439,NULL,NULL
29,41,391,NULL,NULL
30,42,433,NULL,NULL
31,42,440,NULL,NULL
32,43,434,NULL,NULL
33,44,435,NULL,NULL
34,45,392,NULL,NULL
35,46,392,NULL,NULL
36,47,436,NULL,NULL
37,48,421,NULL,NULL
39,50,384,NULL,NULL
40,50,385,NULL,NULL
41,51,381,NULL,NULL
42,51,382,NULL,NULL
43,52,381,NULL,NULL
44,52,382,NULL,NULL
45,53,381,NULL,NULL
46,53,382,NULL,NULL
47,54,384,NULL,NULL
48,54,385,NULL,NULL
49,55,384,NULL,NULL
50,55,385,NULL,NULL
53,57,380,NULL,NULL
54,57,383,NULL,NULL
55,58,384,NULL,NULL
56,58,385,NULL,NULL
57,59,425,NULL,NULL
58,60,425,NULL,NULL
59,61,381,NULL,NULL
60,62,442,NULL,NULL
61,63,433,NULL,NULL
62,64,422,NULL,NULL
63,65,442,NULL,NULL
64,66,422,NULL,NULL
65,67,446,NULL,NULL
66,68,420,NULL,NULL
67,69,385,NULL,NULL
68,70,385,NULL,NULL
69,71,382,NULL,NULL
70,72,385,NULL,NULL
71,73,382,NULL,NULL
72,74,450,NULL,NULL
73,75,450,NULL,NULL
74,76,433,NULL,NULL
75,76,440,NULL,NULL
76,77,418,NULL,NULL
77,78,417,NULL,NULL
78,79,446,NULL,NULL
79,80,391,NULL,NULL
80,81,387,NULL,NULL
81,82,440,NULL,NULL
82,83,380,NULL,NULL
83,83,383,NULL,NULL
84,84,437,NULL,NULL
85,84,438,NULL,NULL
86,84,439,NULL,NULL
87,85,380,NULL,NULL
88,85,383,NULL,NULL
89,86,450,NULL,NULL
90,87,427,NULL,NULL
91,88,386,NULL,NULL
92,89,446,NULL,NULL
93,90,428,NULL,NULL
94,91,428,NULL,NULL
95,92,428,NULL,NULL
96,93,428,NULL,NULL
97,94,428,NULL,NULL
98,95,428,NULL,NULL
99,96,428,NULL,NULL
100,97,428,NULL,NULL
101,98,428,NULL,NULL
102,99,428,NULL,NULL
103,100,428,NULL,NULL
104,101,428,NULL,NULL
105,102,433,NULL,NULL
106,103,388,NULL,NULL
107,104,401,NULL,NULL
108,104,402,NULL,NULL
109,1498,397,NULL,NULL
110,1499,466,NULL,NULL
111,1500,465,NULL,NULL
112,1501,465,NULL,NULL
113,1502,466,NULL,NULL
114,1503,466,NULL,NULL
115,1504,467,NULL,NULL
116,1505,468,NULL,NULL
117,1155,401,NULL,NULL
118,1155,402,NULL,NULL
119,1506,401,NULL,NULL
121,1507,401,NULL,NULL
122,1508,380,NULL,NULL
123,1508,381,NULL,NULL
124,1508,382,NULL,NULL
125,1508,383,NULL,NULL
126,1508,384,NULL,NULL
127,1508,385,NULL,NULL
128,1509,380,NULL,NULL
129,1509,381,NULL,NULL
130,1509,382,NULL,NULL
131,1509,383,NULL,NULL
132,1509,384,NULL,NULL
