id,title,code,description,lecture_units,laboratory_units,is_credit,created_at,updated_at
21,***,COMMELEC115,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
22,"AB Electrification and Control Systems",ABEN80,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
23,"AB Machinery and Mechanization",ABEN70,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
24,"AB Power Engineering",ABEN50,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
25,"AB Products Processing and Storage",ABEN85,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
26,"AB Structures Engineering",ABEN60,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
27,"ABE and Related Laws, Specifications, Contracts, and Professional Ethics",ABEN24,-,1,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
28,"Abstract Algebra",BSEM37,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
29,"AC and DC Industrial Motor Controls",ELEC90,-,2,3,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
30,"Accountancy Research",ACTG32,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
31,"Accounting for Business Combinations",ACTG31,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
32,"Accounting for Government and Non-Profit Organizations",ACTG33,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
33,"Accounting for Special Transactions",ACTG30,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
34,"Accounting Information System",ITEC30,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
35,"Accounting Research Methods",ACTG29,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
36,"Adapted Physical Education and Recreation, Music and Health",SNED28,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
37,"Administration and Management of Physical Education and Health Education Programs",BPED20,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
38,"Administration and Supervision",MDWY110a,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
40,"Advance Digital Electronics",ELEX75,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
41,"Advanced Calculus I",BSAM65,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
42,"Advanced Database System",DCIT55,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
43,"Advanced Engineering Math",DCEE22a,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
44,"Advanced Engineering Mathematics",ENSC21a,-,3,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
45,"Advanced Genetics I",BGEN50,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
46,"Advanced Genetics II",BGEN55,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
47,"Advanced Mathematics for IE",IENG70,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
48,"Advanced Statistics",BSEM34,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
50,"Agribusiness Commodity Systems",AGSC4,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
51,"Agribusiness Finance",ETRP55,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
52,"Agribusiness Management",ETRP50,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
53,"Agribusiness Research",ETRP60,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
54,"Agricultural Competency Appraisal I",AGSC197,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
55,"Agricultural Competency Appraisal II",AGSC198,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
56,"Agricultural Economics and Marketing",ECON12,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
57,"Agricultural Extension and Communication",EXTN11,-,3,0,1,"2024-07-08 16:27:21","2024-11-25 09:04:53"
58,"Agricultural Policy and Development",AGSC5,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
59,"Agri-Fishery Part I",TECO25,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
60,"Agri-Fishery Part II",TECO28,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
61,"Agronomic Crop Production Enterprise",AECP131,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
62,"Analysis of Urine and Body Fluids",MEDT15,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
63,"Analytic Geometry",MATH1,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
64,"Analytical Chemistry",BSES28,-,3,2,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
65,"Analytical Chemistry (Qualitative and Quantitative Chem)",CHEM16,-,3,2,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
66,"Anatomy and Physiology",BSES24,-,3,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
67,"Anatomy and Physiology of Human Movement",BPED65,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
68,"Ang Filipino sa Kurikulum ng Batayang Edukasyon",BSEF23,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
69,"Animal Breeding",ANSC131,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
70,"Animal Diseases Prevention and Control",ANSC136,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
71,"Animal Nutrition and Feeding",AEAP106,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
72,"Animal Physiology",ANSC106,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
73,"Animal Product Processing",AEAP121,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
74,"Animal Welfare",ZOTC85,-,2,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
75,"Apiculture, Wildlife Conservation and Medicine",VMED95,-,2,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
76,"Application Development and Emerging Technologies",DCIT26,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
77,"Applied Business Tools and Technologies",TOUR23,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
78,"Applied Business Tools and Technologies (GDS) with Lab",BSHM23,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
79,"Applied Motor Control  and Learning Exercise, Sports and Dance",BPED155,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
80,"Applied Multivariate Analysis",BSAM121,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
81,"Applied Physics",PHYS5,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
82,"Applied Statistics",STAT2,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
83,"Applied Statistics and Experimental Designs for Agricultural Science",STAT11,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
84,"Applied Thermodynamics",ENGS29,-,1,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
85,"Approaches and Practices in Pest Management",CRPT2,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
86,"Aquaculture and Aquatic Animal Medicine",VMED85,-,2,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
87,"Aquaculture Engineering",ABEN115,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
88,"Aquatic Science",ENSC65,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
89,Aquatics,BPED105,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
90,"Architectural Design I",ARCH50,-,1,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
91,"Architectural Design II",ARCH60,-,1,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
92,"Architectural Design III",ARCH75,-,1,2,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
93,"Architectural Design IV",ARCH95,-,1,2,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
94,"Architectural Design IX",ARCH205,-,1,4,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
95,"Architectural Design V",ARCH115,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
96,"Architectural Design VI",ARCH135,-,1,3,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
97,"Architectural Design VII",ARCH160,-,1,4,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
98,"Architectural Design VIII",ARCH185,-,1,4,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
99,"Architectural Design X-Thesis",ARCH225,-,1,4,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
100,"Architectural Interiors",ARCH70,-,1,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
101,"Architectural Structures",ARCH28,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
102,"Architecture and Organization",COSC65,-,2,1,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
103,"Argumentation and Debate",ENLS121,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
104,"Arnis and Disarming Techniques",FITT6,-,2,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
105,"Art Appreciation",GNED01,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
106,"Art Appreciation (Creativity in Engg Design)",GNED01,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
107,"Arts in Daily Living",HECO29,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
108,"Arts in the K- 12 Curriculum",BPED55,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
109,"Asian Language I",ALAN1,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
110,"Asian Language II",ALAN2,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
111,"Asian Studies",BSESS32,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
112,"Assessment and Evaluation in Mathematics",BSEM40,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
113,"Assessment and Evaluation in the Social Sciences",BSESS40,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
114,"Assessment in Learning I",EDUC75,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
115,"Assessment in Learning II",EDUC80,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
116,"Assessment of Children's Development and Learning",ECED29,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
117,"Assessment of Fitness and Sports",FASC130,-,3,0,1,"2024-07-08 16:27:21","2024-07-08 16:27:21"
